"","year","ID","URLs","total","pre","pre.perG","reg","reg.perG","playoffs","playoffs.perG"
"1",1918,1,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1918",17,NA,NA,15,0.42,2,1
"2",1919,2,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1919",3,NA,NA,3,0.11,NA,NA
"3",1920,3,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1920",12,NA,NA,12,0.25,NA,NA
"4",1921,4,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1921",9,NA,NA,9,0.19,NA,NA
"5",1922,5,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1922",0,NA,NA,NA,NA,NA,NA
"6",1923,6,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1923",0,NA,NA,NA,NA,NA,NA
"7",1924,7,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1924",0,NA,NA,NA,NA,NA,NA
"8",1925,8,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1925",1,NA,NA,1,0.01,NA,NA
"9",1926,9,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1926",0,NA,NA,NA,NA,NA,NA
"10",1927,10,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1927",3,NA,NA,3,0.01,NA,NA
"11",1928,11,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1928",1,NA,NA,1,0,NA,NA
"12",1929,12,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1929",2,NA,NA,2,0.01,NA,NA
"13",1930,13,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1930",6,NA,NA,6,0.03,NA,NA
"14",1931,14,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1931",9,NA,NA,9,0.04,NA,NA
"15",1932,15,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1932",2,NA,NA,2,0.01,NA,NA
"16",1933,16,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1933",1,NA,NA,1,0,NA,NA
"17",1934,17,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1934",1,NA,NA,1,0,NA,NA
"18",1935,18,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1935",4,NA,NA,4,0.02,NA,NA
"19",1936,19,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1936",42,NA,NA,42,0.22,NA,NA
"20",1937,20,"http://dropyourgloves.com/Fights/LeagueSeason.aspx?League=1&Season=1937",14,NA,NA,14,0.07,NA,NA
