"","name","ID","season","fights","games","ratio"
"1","NHL",1,1952,47,210,0.223809523809524
"2","NHL",1,1955,42,210,0.2
"3","NHL",1,1958,55,210,0.261904761904762
"4","NHL",1,1960,46,210,0.219047619047619
"5","NHL",1,1961,39,210,0.185714285714286
"6","NHL",1,1962,53,210,0.252380952380952
"7","NHL",1,1963,90,210,0.428571428571429
"8","NHL",1,1964,59,210,0.280952380952381
"9","NHL",1,1965,64,210,0.304761904761905
"10","NHL",1,1966,56,210,0.266666666666667
"11","NHL",1,1967,109,444,0.245495495495495
"12","NHL",1,1968,150,456,0.328947368421053
"13","NHL",1,1969,187,456,0.410087719298246
"14","NHL",1,1970,343,546,0.628205128205128
"15","NHL",1,1971,236,546,0.432234432234432
"16","NHL",1,1972,279,624,0.447115384615385
"17","NHL",1,1973,297,624,0.475961538461538
"18","NHL",1,1974,360,720,0.5
"19","NHL",1,1975,395,720,0.548611111111111
"20","NHL",1,1976,432,720,0.6
"21","NHL",1,1977,545,720,0.756944444444444
"22","NHL",1,1978,550,680,0.808823529411765
"23","NHL",1,1979,699,840,0.832142857142857
"24","NHL",1,1980,753,840,0.896428571428571
"25","NHL",1,1981,775,840,0.922619047619048
"26","NHL",1,1982,655,840,0.779761904761905
"27","NHL",1,1983,803,840,0.955952380952381
"28","NHL",1,1984,887,840,1.05595238095238
"29","NHL",1,1985,957,840,1.13928571428571
"30","NHL",1,1986,984,840,1.17142857142857
"31","NHL",1,1987,1093,840,1.30119047619048
"32","NHL",1,1988,913,840,1.08690476190476
"33","NHL",1,1989,903,840,1.075
"34","NHL",1,1990,893,840,1.06309523809524
"35","NHL",1,1991,921,880,1.04659090909091
"36","NHL",1,1992,723,1008,0.717261904761905
"37","NHL",1,1993,941,1092,0.861721611721612
"38","NHL",1,1994,560,624,0.897435897435897
"39","NHL",1,1995,865,1066,0.811444652908068
"40","NHL",1,1996,1011,1066,0.948405253283302
"41","NHL",1,1997,947,1066,0.888367729831144
"42","NHL",1,1998,738,1107,0.666666666666667
"43","NHL",1,1999,665,1148,0.579268292682927
"44","NHL",1,2000,754,1230,0.613008130081301
"45","NHL",1,2001,865,1230,0.703252032520325
"46","NHL",1,2002,711,1230,0.578048780487805
"47","NHL",1,2003,869,1230,0.70650406504065
"48","NHL",1,2005,509,1231,0.413484971567831
